VEHICLE_MAKE,VEHICLE_MODEL,VIN,DEREG_DATE,REGNO
AUDI,100 2.3E,WAUZZZ4AZMN091600,20250913,769678923
AUDI,A1,WAUZZZ8X6FB047126,20250902,483933403
AUDI,A1,WAUZZZGB0KR064835,20250908,733391795
HYUNDAI,ACCENT,KMHCT51DLEU124041,20250916,586890869
HYUNDAI,ACCENT,KMHCT51DMHU308392,20250916,776598863
HYUNDAI,ACCENT,KMHCT51DMKU398294,20250915,799695420
HYUNDAI,ACCENT,KMHCU51EMHU303974,20250910,535807745
HYUNDAI,ACCENT,KMHCU51EMHU336373,20250916,563102200
HYUNDAI,ACCENT,KMHUA21NPXU425248,20250920,752118302
HYUNDAI,ACCENT,KMHUA31NPVU235635,20250904,529396691
HYUNDAI,ACCENT 1.5LS 5DR 5SP,KMHUA21NPTU092679,20250910,758108421
HYUNDAI,ATOZ,KMHAB51GRXU145259,20250921,745642433
HYUNDAI,ATOZ,KMHAH51GR1U114876,20250929,293388029
HYUNDAI,COUPE,KMHKG31FPVU016158,20250925,700485087
HYUNDAI,ELANTRA,KMHDG41EMCU277988,20250907,761973830
HYUNDAI,ELANTRA,KMHDH41EMCU394249,20250909,778436274
HYUNDAI,ELANTRA,KMHDH41AMEU242815,20250909,731052375
HYUNDAI,ELANTRA,KMHDM41CR5U043258,20250915,744047641
HYUNDAI,ELANTRA,KMHDM41CR5U946017,20250915,776378603
